experiment,feature_set,feature_count,input_dim,top_k_corr_neighbors,mean_topk_edges_per_target,split,mae,rmse,note
top_30_rf_corr_top_20,top_30_rf,30,60,20,19.851979667024203,test,0.009535365737974644,0.012894491665065289,top-k is selected from correlation edges already present in graph snapshots
top_30_rf_corr_top_5,top_30_rf,30,60,5,4.989635312223103,test,0.009629059582948685,0.013079066760838032,top-k is selected from correlation edges already present in graph snapshots
top_30_rf_corr_top_10,top_30_rf,30,60,10,9.95939234248939,test,0.009630974382162094,0.013112824410200119,top-k is selected from correlation edges already present in graph snapshots
top_30_rf_corr_top_40,top_30_rf,30,60,40,39.49091778202677,test,0.009641401469707489,0.013129772618412971,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_10,full_59,59,118,10,9.95939234248939,test,0.009755649603903294,0.013367507606744766,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_5,full_59,59,118,5,4.989635312223103,test,0.009776686318218708,0.013347094878554344,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_5,price_only,22,44,5,4.989635312223103,test,0.009787539020180702,0.013368111103773117,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_10,price_only,22,44,10,9.95939234248939,test,0.009788477793335915,0.013370173051953316,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_20,price_only,22,44,20,19.851979667024203,test,0.009792141616344452,0.013370572589337826,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_40,price_only,22,44,40,39.49091778202677,test,0.009801755659282207,0.013386434875428677,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_20,price_micro_macro,32,64,20,19.851979667024203,test,0.00981577392667532,0.01341297198086977,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_10,price_micro_macro,32,64,10,9.95939234248939,test,0.009852235205471516,0.013489000499248505,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_5,price_micro_macro,32,64,5,4.989635312223103,test,0.009852668270468712,0.013481694273650646,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_40,price_micro_macro,32,64,40,39.49091778202677,test,0.009886394254863262,0.013535303995013237,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_20,full_59,59,118,20,19.851979667024203,test,0.010086406953632832,0.013849451206624508,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_40,full_59,59,118,40,39.49091778202677,test,0.010163766331970692,0.013957370072603226,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_40,full_59,59,118,40,39.49091778202677,validation,0.009487769566476345,0.014290816150605679,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_20,full_59,59,118,20,19.851979667024203,validation,0.009488259442150593,0.01420317031443119,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_5,full_59,59,118,5,4.989635312223103,validation,0.00956458505243063,0.013903988525271416,top-k is selected from correlation edges already present in graph snapshots
full_59_corr_top_10,full_59,59,118,10,9.95939234248939,validation,0.009609994478523731,0.013936597853899002,top-k is selected from correlation edges already present in graph snapshots
top_30_rf_corr_top_10,top_30_rf,30,60,10,9.95939234248939,validation,0.009707017801702023,0.013966482132673264,top-k is selected from correlation edges already present in graph snapshots
top_30_rf_corr_top_40,top_30_rf,30,60,40,39.49091778202677,validation,0.009731289930641651,0.014086252078413963,top-k is selected from correlation edges already present in graph snapshots
top_30_rf_corr_top_5,top_30_rf,30,60,5,4.989635312223103,validation,0.009743401780724525,0.014020617119967937,top-k is selected from correlation edges already present in graph snapshots
top_30_rf_corr_top_20,top_30_rf,30,60,20,19.851979667024203,validation,0.009866079315543175,0.01391232293099165,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_40,price_micro_macro,32,64,40,39.49091778202677,validation,0.009995153173804283,0.01446970459073782,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_10,price_micro_macro,32,64,10,9.95939234248939,validation,0.010016731917858124,0.014454450458288193,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_40,price_only,22,44,40,39.49091778202677,validation,0.010025598108768463,0.014380481094121933,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_20,price_micro_macro,32,64,20,19.851979667024203,validation,0.01002825703471899,0.014416391029953957,top-k is selected from correlation edges already present in graph snapshots
price_micro_macro_corr_top_5,price_micro_macro,32,64,5,4.989635312223103,validation,0.010038483887910843,0.014467609114944935,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_20,price_only,22,44,20,19.851979667024203,validation,0.010044144466519356,0.014387776143848896,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_10,price_only,22,44,10,9.95939234248939,validation,0.010050949640572071,0.014393799938261509,top-k is selected from correlation edges already present in graph snapshots
price_only_corr_top_5,price_only,22,44,5,4.989635312223103,validation,0.010059159249067307,0.014410623349249363,top-k is selected from correlation edges already present in graph snapshots
