variant,epoch,train_loss,val_mae_full_prediction,val_rmse_full_prediction
top30_h64_d000,1,0.5344023739887496,0.00950202252715826,0.014063388109207153
top30_h64_d000,2,0.4908155379659038,0.009751674719154835,0.014296397566795349
top30_h64_d000,3,0.4566136285410089,0.01006871648132801,0.014885380864143372
top30_h64_d000,4,0.4251125035649639,0.010208436287939548,0.01494134683161974
top30_h64_d000,5,0.4007623796745882,0.010295919142663479,0.014899699948728085
top30_h64_d000,6,0.37929631390814056,0.01050192303955555,0.01519150659441948
top30_h64_d000,7,0.3618240634263572,0.010366985574364662,0.015004237182438374
top30_h64_d000,8,0.3470841686604387,0.010434549301862717,0.015111138112843037
top30_h64_d000,9,0.3340143899796373,0.010658212006092072,0.015459115616977215
top30_h64_d000,10,0.3230428655268782,0.01063740998506546,0.015485909767448902
top30_h64_d000,11,0.3124387996681666,0.010735959745943546,0.0154596958309412
top30_h64_d000,12,0.3046830513719785,0.010856584645807743,0.015603365376591682
top30_h64_d000,13,0.29523695323426846,0.010833168402314186,0.015574958175420761
top30_h64_d010,1,0.5416814477766975,0.009475795552134514,0.014084517024457455
top30_h64_d010,2,0.5075758584475113,0.009707530960440636,0.014315453357994556
top30_h64_d010,3,0.48660668478173724,0.009814850986003876,0.014548670500516891
top30_h64_d010,4,0.46930001448776765,0.009823535569012165,0.014460938051342964
top30_h64_d010,5,0.4523973813501455,0.00992878619581461,0.014643392525613308
top30_h64_d010,6,0.43938091043698585,0.01007870864123106,0.014774455688893795
top30_h64_d010,7,0.42844057638766403,0.010008568875491619,0.014775407500565052
top30_h64_d010,8,0.4189312397423437,0.010132675990462303,0.014987348578870296
top30_h64_d010,9,0.4121467122587107,0.010205784812569618,0.01511370949447155
top30_h64_d010,10,0.4058014573687214,0.010377384722232819,0.015245717018842697
top30_h64_d010,11,0.40006595294354325,0.010104005225002766,0.014842329546809196
top30_h64_d010,12,0.39429761747182424,0.010364925488829613,0.015197142027318478
top30_h64_d010,13,0.3891887301105564,0.010462711565196514,0.0153644485399127
top40_h96_d010,1,0.5390899686490075,0.009466856718063354,0.014032461680471897
top40_h96_d010,2,0.502456616042024,0.00955608207732439,0.01410816889256239
top40_h96_d010,3,0.47487593808416595,0.00976625643670559,0.014546249993145466
top40_h96_d010,4,0.4506176033262479,0.009742033667862415,0.014504717662930489
top40_h96_d010,5,0.4312123797707639,0.009860178455710411,0.014617686159908772
top40_h96_d010,6,0.4122473435886836,0.009803937748074532,0.014534973539412022
top40_h96_d010,7,0.3982331207243063,0.009893393144011497,0.014753513038158417
top40_h96_d010,8,0.38467881083488464,0.009856014512479305,0.014750862494111061
top40_h96_d010,9,0.37408023011886465,0.009889611043035984,0.014805978164076805
top40_h96_d010,10,0.3688801739175441,0.009883479215204716,0.014808239415287971
top40_h96_d010,11,0.3575438296390792,0.0098458556458354,0.01467095036059618
top40_h96_d010,12,0.3538260202286607,0.009928220883011818,0.014845817349851131
top40_h96_d010,13,0.3460805638361785,0.009796056896448135,0.014726909808814526
top50_h128_d015,1,0.5447794562679226,0.009362136013805866,0.013982919044792652
top50_h128_d015,2,0.5090353266667511,0.009502287954092026,0.014065808616578579
top50_h128_d015,3,0.4864855858228974,0.009563425555825233,0.014368396252393723
top50_h128_d015,4,0.4647507354364557,0.009716451168060303,0.014468871988356113
top50_h128_d015,5,0.4458576784295551,0.00976965855807066,0.014439321123063564
top50_h128_d015,6,0.42999622882422756,0.009780828841030598,0.014474224299192429
top50_h128_d015,7,0.4162760023343361,0.009746895171701908,0.014484741725027561
top50_h128_d015,8,0.4024306429644762,0.00979216955602169,0.014618444256484509
top50_h128_d015,9,0.38981380705106056,0.009877067990601063,0.014614133164286613
top50_h128_d015,10,0.381084102190147,0.00983284879475832,0.014637012965977192
top50_h128_d015,11,0.37289880695989575,0.009810029529035091,0.014517415314912796
top50_h128_d015,12,0.3619766391940036,0.010039134882390499,0.014769439585506916
top50_h128_d015,13,0.3591660811739453,0.009976946748793125,0.01478839572519064
