epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse
1,0.0023149915162526493,0.010093008168041706,0.013382700271904469,0.012858014553785324,0.017060330137610435
2,0.00011990909725652947,0.007885287515819073,0.010137287899851799,0.01073048822581768,0.014833390712738037
3,0.00010007816343849916,0.0076728216372430325,0.009838488884270191,0.010640486143529415,0.014836777001619339
4,9.603582105727025e-05,0.007415699306875467,0.009724567644298077,0.010673622600734234,0.015196949243545532
5,9.405987575225862e-05,0.007493293844163418,0.009606950916349888,0.010630306787788868,0.014919554814696312
6,9.225320219787048e-05,0.007989443838596344,0.009809465147554874,0.010739640332758427,0.014508546330034733
7,9.136872974904104e-05,0.007282838225364685,0.00943660270422697,0.010627520270645618,0.015079324133694172
8,8.876939999379007e-05,0.007190983276814222,0.009352521039545536,0.010668967850506306,0.015179900452494621
9,8.650418837327555e-05,0.007126699201762676,0.009254798293113708,0.010632422752678394,0.015114459209144115
10,8.543640046076278e-05,0.007204710505902767,0.009162738919258118,0.01069606188684702,0.014935539104044437
11,8.384851800304116e-05,0.007032204419374466,0.009070523083209991,0.010659274645149708,0.0150420181453228
12,8.214467825675984e-05,0.006925900466740131,0.008997037075459957,0.010698391124606133,0.015190200880169868
13,8.109563186148842e-05,0.007038138806819916,0.008928370662033558,0.010801488533616066,0.015012189745903015
14,7.925782155061532e-05,0.006839390844106674,0.008843980729579926,0.010856284759938717,0.015301648527383804
15,7.812417431024744e-05,0.006747292820364237,0.008797094225883484,0.010855684988200665,0.01541063841432333
16,7.713950441440477e-05,0.006640820298343897,0.008738869801163673,0.010806030593812466,0.015468887984752655
17,7.602792433200164e-05,0.006687175016850233,0.008634181693196297,0.010931183584034443,0.015363920480012894
18,7.558965902013193e-05,0.0065355608239769936,0.008727476932108402,0.010930589400231838,0.01577504724264145
19,7.487195134378834e-05,0.00656479736790061,0.008552811108529568,0.011024081148207188,0.015599981881678104
20,7.410546330051617e-05,0.006697986274957657,0.008556263521313667,0.011076406575739384,0.015362327918410301
21,7.321043942225046e-05,0.006654359400272369,0.008523570373654366,0.011151757091283798,0.015498457476496696
22,7.255010243698639e-05,0.006453739944845438,0.008482450619339943,0.011069109663367271,0.015737077221274376
23,7.249708006941458e-05,0.006444770842790604,0.008467506617307663,0.011048114858567715,0.01574968919157982
24,7.267319034003924e-05,0.006638702470809221,0.008454929105937481,0.011227358132600784,0.01550295390188694
25,7.115982477825451e-05,0.006388391368091106,0.008399507030844688,0.011125992052257061,0.015796586871147156
26,7.129647741338328e-05,0.006487138103693724,0.008359451778233051,0.011124846525490284,0.01553349755704403
27,7.046831929220653e-05,0.006599522661417723,0.008398789912462234,0.011277904734015465,0.015507441945374012
28,6.991895738352585e-05,0.006341975647956133,0.008346602320671082,0.011142903007566929,0.01577654667198658
29,6.958163278121051e-05,0.006288350094109774,0.008341963402926922,0.011137239634990692,0.015924692153930664
30,6.935232980345796e-05,0.006295944098383188,0.008261583745479584,0.01115166861563921,0.015789488330483437
