model,split,input,graph,mae,rmse,note,price_features,news_features,relationship_edges,co_mention_edges,input_dim
Random Forest,test,tabular price/news features,no,0.0081158801913261,0.0106462584808468,nonlinear tabular ML baseline,,,,,
Linear Regression,test,tabular price/news features,no,0.0081208143383264,0.0107100056484341,baseline linear tabular model,,,,,
Rolling Volatility,test,historical volatility only,no,0.0087901493534445,0.0111781554296612,prediction = rolling_vol_20 at T-1,,,,,
GNN Correlation Only,test,price features only,price_correlation only,0.0089877285063266,0.012095108628273,one-hop weighted correlation message passing; no news/relationship edges,,,,,
GNN Correlation Only,test,,,0.0089877285063266,0.012095108628273,,Yes,No,No,No,88.0
Full Model,test,,,0.0089990822598338,0.0120301386341452,,Yes,Yes,Yes,Yes,118.0
GNN + News,test,,,0.0090566119179129,0.012083682231605,,Yes,Yes,No,No,116.0
GNN + Relationship,test,,,0.0090892268344759,0.0121490331366658,,Yes,No,Yes,No,88.0
Full Model,validation,,,0.0105944080278277,0.0148640386760234,,Yes,Yes,Yes,Yes,118.0
GNN Correlation Only,validation,price features only,price_correlation only,0.0106275202706456,0.0150793241336941,one-hop weighted correlation message passing; no news/relationship edges,,,,,
GNN Correlation Only,validation,,,0.0106275202706456,0.0150793232023715,,Yes,No,No,No,88.0
GNN + Relationship,validation,,,0.0106296567246317,0.0149107985198497,,Yes,No,Yes,No,88.0
GNN + News,validation,,,0.0106303505599498,0.014930972829461,,Yes,Yes,No,No,116.0
Linear Regression,validation,tabular price/news features,no,0.011337911710143,0.015654195100069,baseline linear tabular model,,,,,
Random Forest,validation,tabular price/news features,no,0.0115098226815462,0.0159090533852577,nonlinear tabular ML baseline,,,,,
Rolling Volatility,validation,historical volatility only,no,0.0136128012090921,0.0181890483945608,prediction = rolling_vol_20 at T-1,,,,,
