epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,weighted_mae_q75,weighted_mae_q90
1,0.8473695684224367,0.5622739791870117,0.6616602540016174,0.7273821830749512,0.860388994216919,0.33030615746974945,0.7504987239837645
2,0.8365875734016299,0.569850742816925,0.6737130284309387,0.7266057133674622,0.8613349199295044,0.33030615746974945,0.7504987239837645
3,0.8301457446068525,0.5508826375007629,0.6528834700584412,0.7025523781776428,0.8348274230957031,0.33030615746974945,0.7504987239837645
4,0.8236128445714712,0.5445765852928162,0.6499452590942383,0.6844488382339478,0.8138912320137024,0.33030615746974945,0.7504987239837645
5,0.8174837324768305,0.5671284794807434,0.6744624376296997,0.6987013220787048,0.822292685508728,0.33030615746974945,0.7504987239837645
6,0.8094725925475359,0.5729082822799683,0.6838332414627075,0.6959487199783325,0.8171781897544861,0.33030615746974945,0.7504987239837645
7,0.8032049341127276,0.597890317440033,0.7184014320373535,0.696865439414978,0.8181254267692566,0.33030615746974945,0.7504987239837645
8,0.7935933386906981,0.5679914951324463,0.6819261908531189,0.6776936054229736,0.7953646183013916,0.33030615746974945,0.7504987239837645
9,0.7900886535644531,0.513412356376648,0.6273163557052612,0.6110361814498901,0.7418596744537354,0.33030615746974945,0.7504987239837645
10,0.7781803430989385,0.54972243309021,0.6686334013938904,0.6532358527183533,0.7754179835319519,0.33030615746974945,0.7504987239837645
11,0.7718073027208447,0.49505725502967834,0.6006224751472473,0.6065033674240112,0.7311611771583557,0.33030615746974945,0.7504987239837645
12,0.7635149145498872,0.5476906895637512,0.6693284511566162,0.6544803380966187,0.7785953283309937,0.33030615746974945,0.7504987239837645
13,0.7566790757700801,0.5292407274246216,0.6462324857711792,0.6377321481704712,0.758965253829956,0.33030615746974945,0.7504987239837645
14,0.7524247681722045,0.4759414494037628,0.5845401883125305,0.5888991951942444,0.7177109718322754,0.33030615746974945,0.7504987239837645
15,0.7457477236166596,0.5364814400672913,0.6581746935844421,0.639788031578064,0.7620244026184082,0.33030615746974945,0.7504987239837645
16,0.7400896977633238,0.5411118268966675,0.6653837561607361,0.6456316113471985,0.7673653364181519,0.33030615746974945,0.7504987239837645
17,0.7327971523627639,0.5379490852355957,0.6640447378158569,0.6482643485069275,0.7741153240203857,0.33030615746974945,0.7504987239837645
18,0.7261517159640789,0.4871863126754761,0.6059234738349915,0.6072240471839905,0.734960675239563,0.33030615746974945,0.7504987239837645
19,0.7201189808547497,0.4822656512260437,0.6027771234512329,0.5976744890213013,0.7277332544326782,0.33030615746974945,0.7504987239837645
20,0.722154438495636,0.4675508439540863,0.5811728835105896,0.590408205986023,0.7193970680236816,0.33030615746974945,0.7504987239837645
21,0.7156481118872762,0.497798889875412,0.6230811476707458,0.6292005181312561,0.7568361163139343,0.33030615746974945,0.7504987239837645
22,0.7071581799536943,0.44193345308303833,0.5532139539718628,0.574669599533081,0.7232787609100342,0.33030615746974945,0.7504987239837645
23,0.7027999069541693,0.45857474207878113,0.5770562291145325,0.5918159484863281,0.7229745388031006,0.33030615746974945,0.7504987239837645
24,0.6967190187424421,0.5121854543685913,0.6407584547996521,0.638342559337616,0.7644008994102478,0.33030615746974945,0.7504987239837645
25,0.6896231221035123,0.4850974678993225,0.6109572052955627,0.624933660030365,0.7534745931625366,0.33030615746974945,0.7504987239837645
