ticker,company_name,industry,exchange
AAA,,MaterialsChemicalsSteel,
ABB,,Banking,
ACB,,Banking,
ACL,,ConsumerFoodAgri,
ACV,,TransportLogisticsAviation,
AGG,,RealEstate,
AGR,,Securities,
ANV,,ConsumerFoodAgri,
APH,,MaterialsChemicalsSteel,
AST,,TransportLogisticsAviation,
BAF,,ConsumerFoodAgri,
BCM,,RealEstate,
BFC,,MaterialsChemicalsSteel,
BID,,Banking,
BMP,,MaterialsChemicalsSteel,
BSI,,Securities,
BSR,,EnergyUtilitiesOilGas,
BWE,,EnergyUtilitiesOilGas,
C4G,,ConstructionInfra,
CMG,,ICTTelecom,
CRE,,RealEstate,
CSV,,MaterialsChemicalsSteel,
CTD,,ConstructionInfra,
CTG,,Banking,
CTS,,Securities,
DBC,,ConsumerFoodAgri,
DBD,,HealthcarePharma,
DCM,,MaterialsChemicalsSteel,
DGC,,MaterialsChemicalsSteel,
DGW,,RetailDistribution,
DHG,,HealthcarePharma,
DIG,,RealEstate,
DMC,,HealthcarePharma,
DPG,,ConstructionInfra,
DPM,,MaterialsChemicalsSteel,
DXG,,RealEstate,
EIB,,Banking,
ELC,,ICTTelecom,
FCN,,ConstructionInfra,
FMC,,ConsumerFoodAgri,
FOX,,ICTTelecom,
FPT,,ICTTelecom,
FRT,,RetailDistribution,
FTS,,Securities,
GAS,,EnergyUtilitiesOilGas,
GEG,,EnergyUtilitiesOilGas,
GEX,,IndustrialsHoldings,
GMD,,TransportLogisticsAviation,
GVR,,MaterialsChemicalsSteel,
HAH,,TransportLogisticsAviation,
HCM,,Securities,
HDB,,Banking,
HDG,,RealEstate,
HHV,,ConstructionInfra,
HPG,,MaterialsChemicalsSteel,
HSG,,MaterialsChemicalsSteel,
IDI,,ConsumerFoodAgri,
IJC,,RealEstate,
IMP,,HealthcarePharma,
JVC,,HealthcarePharma,
KBC,,RealEstate,
KDC,,ConsumerFoodAgri,
KDH,,RealEstate,
LCG,,ConstructionInfra,
LPB,,Banking,
LTG,,ConsumerFoodAgri,
MBB,,Banking,
MSB,,Banking,
MSN,,ConsumerFoodAgri,
MWG,,RetailDistribution,
NKG,,MaterialsChemicalsSteel,
NLG,,RealEstate,
NT2,,EnergyUtilitiesOilGas,
NTL,,RealEstate,
OCB,,Banking,
ORS,,Securities,
PAN,,ConsumerFoodAgri,
PC1,,ConstructionInfra,
PDR,,RealEstate,
PGV,,EnergyUtilitiesOilGas,
PHR,,MaterialsChemicalsSteel,
PLX,,EnergyUtilitiesOilGas,
PNJ,,RetailDistribution,
POW,,EnergyUtilitiesOilGas,
PPC,,EnergyUtilitiesOilGas,
PVD,,EnergyUtilitiesOilGas,
PVS,,EnergyUtilitiesOilGas,
QNS,,ConsumerFoodAgri,
REE,,IndustrialsHoldings,
SAB,,ConsumerFoodAgri,
SCR,,RealEstate,
SCS,,TransportLogisticsAviation,
SGN,,TransportLogisticsAviation,
SHB,,Banking,
SIP,,RealEstate,
SSB,,Banking,
SSI,,Securities,
STB,,Banking,
SZC,,RealEstate,
TCB,,Banking,
TPB,,Banking,
TRA,,HealthcarePharma,
VCB,,Banking,
VCG,,ConstructionInfra,
VCI,,Securities,
VGI,,ICTTelecom,
VHC,,ConsumerFoodAgri,
VHM,,RealEstate,
VIB,,Banking,
VIC,,RealEstate,
VIX,,Securities,
VJC,,TransportLogisticsAviation,
VND,,Securities,
VNM,,ConsumerFoodAgri,
VPB,,Banking,
VRE,,RealEstate,
VSC,,TransportLogisticsAviation,
VTP,,TransportLogisticsAviation,
